title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,id_y,rating,genre,director,writer,runtime
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1097,NR,Classics|Drama|Western,,James Edward Grant,99 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1099,NR,Classics|Drama|Mystery and Suspense,Charles Vidor,Reginald Denham|Garrett Elsden Fort|Edward Percy,92 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1100,NR,Documentary|Drama,Mano Khalil,Mano Khalil,107 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1101,PG,Comedy|Drama,George Lucas,George Lucas|Gloria Katz|Willard Huyck,113 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1102,PG,Classics|Drama,George Stevens,Albert Hackett|Frances Goodrich,156 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1104,PG,Action and Adventure|Drama|Mystery and Suspense,Don Siegel,,111 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1106,NR,Classics|Drama|Romance,George Melford|George Fitzmaurice,,80 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1110,NR,Documentary|Special Interest,Emile de Antonio|Dan Talbot,,97 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1115,NR,Action and Adventure|Comedy|Drama,Jeffrey Lau,,188 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1116,R,Comedy,Dennis Hopper,John Rice|Joe Batteer|Dan Gilroy|Joe Gayton,105 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1119,NR,Drama|Mystery and Suspense,Fritz Lang,Douglas Morrow,80 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1120,NR,Comedy,Steno,Steno|Mario Amendola|Bruno Corbucci|Bud Spencer,90 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1121,PG,Action and Adventure|Classics|Comedy|Drama,Peter Yates,William Goldman,105 minutes
